date,stock_type,close_percentage,open_percentage
2021-11-19,nyse,30.129045823502505,30.04886468365864
2021-11-18,nyse,31.231314338223942,30.618054930071313
2021-11-17,nyse,31.805679860959792,31.45473892168281
2021-11-16,nyse,32.64997127536016,31.323774268932787
2021-11-15,nyse,32.51781584629093,31.415773005285626
2021-11-12,nyse,32.610651067255034,30.828880421377953
2021-11-11,nyse,32.01842225119496,30.613262092677452
2021-11-10,nyse,31.800843445416017,31.33410186901368
2021-11-09,nyse,32.52823734851529,31.51339553536068
2021-11-08,nyse,32.70916121543615,30.99563555027041
2021-11-05,nyse,32.18669357590378,30.437307090149712
2021-11-04,nyse,31.623288598610788,30.747891856375727
2021-11-03,nyse,31.936697309901074,30.029337209942454
2021-11-02,nyse,31.21160931390317,30.150211678705396
2021-11-01,nyse,31.333582815511825,29.279028160961584
2021-10-29,nyse,30.454478193249912,29.739348289854778
2021-10-28,nyse,30.918983713370658,28.549463343177695
2021-10-27,nyse,29.718279917581793,30.25710827494505
2021-10-26,nyse,31.441451352903023,30.43883545625364
2021-10-25,nyse,31.624830861152613,30.08305260116782
2021-10-22,nyse,31.265813104208025,29.786074744818503
2021-10-21,nyse,30.96613502156678,29.908091778532924
2021-10-20,nyse,31.089261476726115,29.064404012153922
2021-10-19,nyse,30.237902606794286,28.105925564415955
2021-10-18,nyse,29.270709338575628,28.179925193156542
2021-10-15,nyse,29.345381797760794,27.211638493042894
2021-10-14,nyse,28.36829109711354,25.455679386184432
2021-10-13,nyse,26.596366197363412,24.91315393480821
2021-10-12,nyse,26.04890791528442,24.82441966974531
2021-10-11,nyse,25.959366847322258,25.486602832403676
2021-10-08,nyse,26.627570810345542,25.445425978632848
2021-10-07,nyse,26.586019562252734,24.128426971477275
2021-10-06,nyse,25.25704594059467,24.04204460959372
2021-10-05,nyse,25.16987816013619,23.065559634990564
2021-10-04,nyse,24.184514643427217,24.01659657203805
2021-10-01,nyse,25.144198740143697,22.658042329212137
2021-09-30,nyse,23.773292048113053,24.17727533277946
2021-09-29,nyse,25.30633844824206,24.054887336418457
2021-09-28,nyse,25.182837657514323,26.113826475247965
2021-09-27,nyse,27.26049738940246,25.653135383708182
2021-09-24,nyse,26.79561753371332,25.86669116009368
2021-09-23,nyse,27.01111503373194,24.232660055914458
2021-09-22,nyse,25.362226748604726,22.958744650533156
2021-09-21,nyse,24.076728459861062,22.83467990300959
2021-09-20,nyse,23.95153567236414,25.054461026145002
