date,stock_type,close_percentage,open_percentage
2021-11-19,spx,36.25924517586812,36.48522228722832
2021-11-18,spx,36.4500932218212,36.26144782923561
2021-11-17,spx,35.98979764527274,36.284051738749476
2021-11-16,spx,36.344514995153034,35.64400866535096
2021-11-15,spx,35.819541248089,35.930400340431575
2021-11-12,spx,35.82099994122741,34.943103468652716
2021-11-11,spx,34.84704611098955,35.06339816305373
2021-11-10,spx,34.77279438162387,35.3784799599782
2021-11-09,spx,35.89060651186109,36.45072903269775
2021-11-08,spx,36.367726626743796,36.283471425480805
2021-11-05,spx,36.24676839281049,36.21911326858688
2021-11-04,spx,35.74007787721911,35.1660145337335
2021-11-03,spx,35.17478471884397,34.23029477295562
2021-11-02,spx,34.30698976011579,33.72852195130478
2021-11-01,spx,33.81450380003725,33.64968427065839
2021-10-29,spx,33.57406018737834,32.555411601693635
2021-10-28,spx,33.314186215633086,32.26466050010689
2021-10-27,spx,32.016558291431316,32.76847149518917
2021-10-26,spx,32.6868348695638,32.72411291509118
2021-10-25,spx,32.44581061206339,31.999429028359554
2021-10-22,spx,31.81990379706321,31.7799998428908
2021-10-21,spx,31.961439517696565,31.377658745933118
2021-10-20,spx,31.567280804802074,31.150968567614886
2021-10-19,spx,31.086974224325765,30.365988716870042
2021-10-18,spx,30.124916532304034,29.391444583019794
2021-10-15,spx,29.687251942504833,28.926769348617466
2021-10-14,spx,28.726922022938307,27.160281604798314
2021-10-13,spx,26.56729142635405,26.327178214700197
2021-10-12,spx,26.185892737903295,26.625756468422924
2021-10-11,spx,26.491595165919264,27.122306470655715
2021-10-08,spx,27.366060459290072,27.733064954959552
2021-10-07,spx,27.610271182384082,27.072739225121843
2021-10-06,spx,26.560040446869937,25.21290596893951
2021-10-05,spx,26.04291248620083,24.931737113276938
2021-10-04,spx,24.730187796120017,26.061366429684185
2021-10-01,spx,26.37123173889676,25.14305606696645
2021-09-30,spx,24.935537801041338,26.694162664215387
2021-09-29,spx,26.441418954371937,26.454733901950693
2021-09-28,spx,26.24331992893474,28.110778122954088
2021-09-27,spx,28.86759385734406,28.765314874087238
2021-09-24,spx,29.226375721114866,28.64704419913549
2021-09-23,spx,29.037850254527793,27.740028714183612
2021-09-22,spx,27.490785803658486,26.600250992565694
2021-09-21,spx,26.28856774036395,26.803742794119216
2021-09-20,spx,26.391242742824613,27.629882424993273
2021-09-17,spx,28.574084970999625,29.565949029104054
2021-09-16,spx,29.756277868297005,29.778994768617423
2021-09-15,spx,29.957860762783216,28.920980369912908
2021-09-14,spx,28.86585192281955,29.843933238780014
2021-09-13,spx,29.610677633773136,29.712909825899654
2021-09-10,spx,29.31629069913179,30.643689846902745
2021-09-09,spx,30.322718154285834,30.820515546061696
2021-09-08,spx,30.925710741150652,30.967476342857285
2021-09-07,spx,31.09857295908649,31.468668851239457
2021-09-03,spx,31.54524462496362,31.382867411369002
2021-09-02,spx,31.58933114670983,31.44258306211355
2021-09-01,spx,31.216330565356888,31.277929787614546
2021-08-31,spx,31.17544467127359,31.30547343690321
2021-08-30,spx,31.352654644486034,30.841958829038223
2021-08-27,spx,30.789400824090812,29.692329935835044
2021-08-26,spx,29.64751317603523,30.26192864000967
2021-08-25,spx,30.407124087343146,30.166276028553963
2021-08-24,spx,30.11824619766142,29.99089403557561
2021-08-23,spx,29.923914282659325,29.002139303633985
2021-08-20,spx,28.825829914963858,27.850472236999373
2021-08-19,spx,27.78545597968593,27.035344404247923
2021-08-18,spx,27.625070544807723,28.73110469919993
2021-08-17,spx,29.011749560798826,29.345061983472537
2021-08-16,spx,29.92914008623284,29.33143169864983
2021-08-13,spx,29.58950534016228,29.423899664118924
2021-08-12,spx,29.38154951448886,28.880103669426955
2021-08-11,spx,29.000731470879597,28.76705581389325
2021-08-10,spx,28.683132904647497,28.58182264932964
2021-08-09,spx,28.555518498140874,28.639217046999498
2021-08-06,spx,28.67646257000488,28.387021392824032
2021-08-05,spx,28.461255764847337,27.801188071108758
2021-08-04,spx,27.6943938740553,28.006718046093717
2021-08-03,spx,28.2886767882976,27.33392265797065
2021-08-02,spx,27.244833146039966,27.743213360170227
2021-07-30,spx,27.479753551669955,27.40290916703178
2021-07-29,spx,28.172661116551705,27.648424141626442
