Date,Close/Last,Volume,Open,High,Low
09/23/2019,1.9925,42149,2.0159,2.0189,1.9671
09/20/2019,1.9863,18430,2.0129,2.0188,1.984
09/19/2019,1.9994,63195,1.9716,2.0223,1.9668
09/18/2019,1.9706,43039,1.9686,1.976,1.9674
09/17/2019,1.9889,84035,2.0359,2.0361,1.9664
09/16/2019,2.0838,90458,2.074,2.0966,2.0479
09/13/2019,1.8778,38840,1.8881,1.891,1.8614
09/12/2019,1.8851,53653,1.9055,1.9168,1.8513
09/11/2019,1.9032,57821,1.9416,1.9529,1.8885
09/10/2019,1.9312,49167,1.932,1.9624,1.9261
09/09/2019,1.9277,41548,1.8992,1.9369,1.8981
09/06/2019,1.9003,41916,1.8868,1.9099,1.8444
09/05/2019,1.8885,55901,1.8798,1.9206,1.8754
09/04/2019,1.8802,62461,1.8026,1.885,1.8006
09/03/2019,1.8033,68280,1.8162,1.8389,1.777
08/30/2019,1.8352,50444,1.8308,1.8361,1.8295
08/29/2019,1.87,49918,1.8575,1.8735,1.8504
08/28/2019,1.8575,61536,1.8395,1.87,1.832
08/27/2019,1.823,68508,1.8024,1.8405,1.8024
08/26/2019,1.8007,50552,1.8018,1.8456,1.7973
08/23/2019,1.8235,59235,1.848,1.8528,1.8045
08/22/2019,1.8413,18872,1.8573,1.8685,1.833
08/21/2019,1.8641,46625,1.8588,1.8871,1.8565
08/20/2019,1.8606,48117,1.8408,1.8643,1.8295
08/19/2019,1.8397,26504,1.8155,1.8443,1.8155
08/16/2019,1.8199,31526,1.812,1.835,1.8031
08/15/2019,1.8107,44201,1.8369,1.8439,1.8032
08/14/2019,1.8437,50712,1.8724,1.875,1.8091
08/13/2019,1.8773,47973,1.8048,1.8839,1.7914
08/12/2019,1.8058,38165,1.7964,1.8158,1.7926
08/09/2019,1.808,46403,1.7846,1.821,1.7719
08/08/2019,1.7766,51061,1.7759,1.7895,1.7564
08/07/2019,1.7532,72495,1.8178,1.8303,1.745
08/06/2019,1.824,50166,1.8412,1.8557,1.8162
08/05/2019,1.8356,51351,1.8752,1.8793,1.8297
08/02/2019,1.8902,58255,1.8709,1.9129,1.8677
08/01/2019,1.8529,71248,1.9537,1.9581,1.8418
07/31/2019,1.9707,62045,1.9634,1.9747,1.9512
07/30/2019,1.9526,52159,1.9219,1.9651,1.9211
07/29/2019,1.9203,43394,1.9119,1.9281,1.9053
07/26/2019,1.9133,11675,1.907,1.9221,1.8995
07/25/2019,1.9227,39481,1.9153,1.9373,1.9144
07/24/2019,1.9172,51031,1.9333,1.9551,1.9004
07/23/2019,1.9297,42583,1.908,1.9387,1.8934
07/22/2019,1.9073,39957,1.9025,1.9353,1.9008
07/19/2019,1.8967,48202,1.8891,1.9149,1.8786
07/18/2019,1.8699,43457,1.9023,1.9222,1.8596
07/17/2019,1.8926,40524,1.8984,1.9305,1.8856
07/16/2019,1.9131,34333,1.9522,1.9816,1.9003
07/15/2019,1.9516,41421,1.9742,1.9876,1.945
07/12/2019,1.9801,34302,1.9842,1.9889,1.9704
07/11/2019,1.9786,47954,1.9911,2.0181,1.976
07/10/2019,1.991,57310,1.9144,1.9939,1.9143
07/09/2019,1.9106,43158,1.89,1.929,1.887
07/08/2019,1.8953,38492,1.9056,1.9201,1.8886
07/05/2019,1.905,40102,1.8878,1.9114,1.8694
07/03/2019,1.8987,4682,1.9026,1.9059,1.8787
07/02/2019,1.8863,40263,1.9538,1.961,1.882
07/01/2019,1.9538,42579,1.9456,1.9897,1.9332
06/28/2019,1.9394,47484,1.96,1.973,1.924
06/27/2019,1.9612,52525,1.9748,1.9766,1.9545
06/26/2019,1.9713,14387,1.9389,1.9776,1.9375
06/25/2019,1.9309,48451,1.9148,1.95,1.8989
06/24/2019,1.9162,55720,1.9302,1.9409,1.8966
06/21/2019,1.9221,69864,1.899,1.9369,1.8828
06/20/2019,1.8914,60626,1.8432,1.9092,1.8408
06/19/2019,1.8356,45218,1.8365,1.8524,1.8239
06/18/2019,1.8346,40050,1.8088,1.8498,1.7874
06/17/2019,1.8065,27922,1.834,1.843,1.8019
06/14/2019,1.8358,43966,1.8092,1.8394,1.7991
06/13/2019,1.8066,46545,1.7768,1.8379,1.7725
06/12/2019,1.7799,50407,1.8185,1.8194,1.7717
06/11/2019,1.8221,44900,1.81,1.8317,1.8048
06/10/2019,1.8063,36531,1.826,1.8426,1.8007
06/07/2019,1.8248,49987,1.8011,1.8337,1.7915
06/06/2019,1.7883,45683,1.7774,1.8095,1.7527
06/05/2019,1.78,54048,1.8075,1.8164,1.7402
06/04/2019,1.8215,52020,1.8067,1.8262,1.7824
06/03/2019,1.8065,73545,1.8391,1.8564,1.7967
05/31/2019,1.8404,62458,1.9164,1.9196,1.8274
05/30/2019,1.915,10531,1.9706,1.9775,1.9073
05/29/2019,1.9693,57375,1.9923,1.9934,1.9471
05/28/2019,1.9938,72850,2.0069,2.0219,1.9701
05/24/2019,1.972,7352,1.984,2.0087,1.9701
05/23/2019,1.9631,81774,2.0449,2.0483,1.95
05/22/2019,2.0506,61143,2.0786,2.0797,2.0305
05/21/2019,2.0827,52555,2.0791,2.0883,2.0691
05/20/2019,2.0754,46072,2.0963,2.1191,2.0706
05/17/2019,2.0963,40794,2.1274,2.133,2.0886
05/16/2019,2.1236,47336,2.0917,2.1381,2.0917
05/15/2019,2.0879,32040,2.0527,2.0966,2.0471
05/14/2019,2.062,27300,2.0317,2.0713,2.0285
