date,cryptotype,close_percentage,open_percentage
2021-12-08,Litecoin,-26.749111838280122,-26.989071316326786
2021-12-07,Litecoin,-26.840275213305524,-27.397718723063285
2021-12-06,Litecoin,-27.068187128528876,-30.07659947825627
2021-12-05,Litecoin,-29.666381571011097,-27.851766778399284
2021-12-04,Litecoin,-27.706337709026375,-9.82605343898135
2021-12-03,Litecoin,-22.054124993615236,-8.600125075218855
2021-12-02,Litecoin,-8.288246705188996,-7.82824476679236
2021-12-01,Litecoin,-7.558925794346412,-4.014243873259375
2021-11-30,Litecoin,-3.912335150772855,-7.374196711456362
2021-11-29,Litecoin,-7.011938588874314,-9.916868592627353
2021-11-28,Litecoin,-9.38222111613319,-14.593558020009334
2021-11-27,Litecoin,-14.213956500996023,-9.780652790381852
2021-11-26,Litecoin,-9.38222111613319,-1.6985960197563834
2021-11-25,Litecoin,-1.2685555431180915,-0.6542841068388875
2021-11-24,Litecoin,-1.131813958239826,-3.6964046919453755
2021-11-23,Litecoin,-3.502096485498702,-4.513692577194872
2021-11-22,Litecoin,-4.09466885614334,-3.7872198455913755
2021-11-21,Litecoin,-2.408115119234828,1.6159561698411036
2021-11-20,Litecoin,1.9222112700087703,0.3446202292556085
2021-11-19,Litecoin,0.2812426982727985,-6.012052545448367
2021-11-18,Litecoin,-6.145876093153466,-0.5180683045933879
2021-11-17,Litecoin,0.7826516938920339,1.1619081145051053
2021-11-16,Litecoin,0.8738150689174371,12.059061442569064
2021-11-15,Litecoin,12.725234660531495,25.408078426381508
2021-11-14,Litecoin,25.71620687294261,16.009278138347547
2021-11-13,Litecoin,16.462988679130454,11.968253217146563
2021-11-12,Litecoin,12.998724785607704,24.908622794222513
2021-11-11,Litecoin,26.12645944885612,16.100086363770046
2021-11-10,Litecoin,16.00716484868376,21.230830774711524
2021-11-09,Litecoin,21.887289479318248,10.515293897492569
2021-11-08,Litecoin,10.810775963719314,-6.420693023961364
2021-11-07,Litecoin,-6.237039468178869,-9.689844564959353
2021-11-06,Litecoin,-9.154309200909843,-9.050993075968075
2021-11-05,Litecoin,-8.697574223585272,-8.448473191013997
2021-11-04,Litecoin,-8.069905309843191,-7.682038466258979
2021-11-03,Litecoin,-7.346510331366645,-8.270944392034359
2021-11-02,Litecoin,-7.987401307817453,-10.965261229186707
2021-11-01,Litecoin,-10.622973638251649,-14.044614087385476
2021-10-31,Litecoin,-13.434042594812418,-12.213443046833163
2021-10-30,Litecoin,-11.708747727294956,-12.623448385375783
2021-10-29,Litecoin,-12.19784580708334,-12.387341456698483
2021-10-28,Litecoin,-12.048334255275448,-17.57256941724876
2021-10-27,Litecoin,-16.98126258614,-7.58078940802106
2021-10-26,Litecoin,-7.585822015542966,-11.138252041773447
2021-10-25,Litecoin,-10.42149889312608,-12.082222493731603
2021-10-24,Litecoin,-11.783955598978002,-10.879898587435688
2021-10-23,Litecoin,-9.482502915257037,-12.350109183606202
2021-10-22,Litecoin,-11.916148404786565,-9.603117063178711
2021-10-21,Litecoin,-8.775974587000725,-5.19113427108455
2021-10-20,Litecoin,-5.0751463605746405,-15.65557847219439
2021-10-19,Litecoin,-15.102352528204365,-13.417575219462737
2021-10-18,Litecoin,-13.27496052312698,-15.597457605247769
2021-10-17,Litecoin,-15.554079675360455,-14.969968402797493
2021-10-16,Litecoin,-14.73815112388185,-13.844838762745376
2021-10-15,Litecoin,-13.330109252857387,-16.250380316168787
2021-10-14,Litecoin,-15.832584585924824,-18.02570987530618
2021-10-13,Litecoin,-17.778495238322943,-20.932522255445747
2021-10-12,Litecoin,-20.66796455829916,-21.19995861079281
2021-10-11,Litecoin,-20.791491035788383,-18.13922188914018
2021-10-10,Litecoin,-18.09757748389137,-17.41364982659176
2021-10-09,Litecoin,-17.47765679627108,-19.337908478098274
2021-10-08,Litecoin,-19.077136886125114,-19.93770557121661
2021-10-07,Litecoin,-19.793694785357747,-20.12477453395659
2021-10-06,Litecoin,-19.574901294232845,-21.994542707630803
2021-10-05,Litecoin,-21.844442971269096,-23.4565780000706
2021-10-04,Litecoin,-23.252943893392338,-24.78239749026489
2021-10-03,Litecoin,-24.538363478485785,-23.656360252934196
2021-10-02,Litecoin,-23.763464357790337,-24.65935224089405
2021-10-01,Litecoin,-24.228406612335476,-30.321332045191834
2021-09-30,Litecoin,-30.993282682666802,-31.58858033391197
2021-09-29,Litecoin,-31.54938831223734,-34.494942379524
2021-09-28,Litecoin,-34.20182729289177,-33.186831428597266
2021-09-27,Litecoin,-30.277183834532945,-33.22723682805282
2021-09-26,Litecoin,-30.432169222927776,-32.54662200779986
2021-09-25,Litecoin,-32.23312405790738,-29.973077962710153
2021-09-24,Litecoin,-29.7575449460365,-26.780213090677385
2021-09-23,Litecoin,-26.33385838751781,-26.776125438812027
2021-09-22,Litecoin,-26.63971161505783,-31.273921207184745
2021-09-21,Litecoin,-30.726629636834502,-27.593413324061522
2021-09-20,Litecoin,-27.08232033811548,-24.028225721105954
