date,cryptotype,close_percentage,open_percentage
2021-11-21,Ethereum,69.92851347888462,76.01278732433396
2021-11-20,Ethereum,76.44923348376884,74.43274420396087
2021-11-19,Ethereum,74.15285172151911,64.7057637308224
2021-11-18,Ethereum,64.54032106286147,72.93884087694094
2021-11-17,Ethereum,73.90209990437711,68.06459060744248
2021-11-16,Ethereum,66.97836816009108,76.66991826114197
2021-11-15,Ethereum,77.18890662047022,91.19107134054998
2021-11-14,Ethereum,91.40356299989162,88.29390891043028
2021-11-13,Ethereum,88.7709372631057,87.76885502143583
2021-11-12,Ethereum,88.43346089755383,94.22235467904886
2021-11-11,Ethereum,94.61791705062741,88.36381687909723
2021-11-10,Ethereum,88.56902390927863,91.54259551453096
2021-11-09,Ethereum,91.93277555475396,95.28464624720566
2021-11-08,Ethereum,95.27046809343,91.7835924715165
2021-11-07,Ethereum,92.01500783913893,84.91762984577652
2021-11-06,Ethereum,85.13482720316507,82.11637011578946
2021-11-05,Ethereum,82.65120151562975,83.12502522657846
2021-11-04,Ethereum,84.84783911470718,85.42032032838787
2021-11-03,Ethereum,85.31801616446357,86.9032503069341
2021-11-02,Ethereum,86.27711453377934,75.02280476492605
2021-11-01,Ethereum,75.65175723297718,72.1971774546032
2021-10-31,Ethereum,70.92508051053196,77.49325673287883
2021-10-30,Ethereum,77.80361133272676,76.36837937613971
2021-10-29,Ethereum,76.81521386087692,77.98378326862876
2021-10-28,Ethereum,77.676198003525,62.31456592888034
2021-10-27,Ethereum,62.62417168349792,71.09097264924517
2021-10-26,Ethereum,71.4542930653943,71.68512093134161
2021-10-25,Ethereum,71.8666670010604,68.0467117883199
2021-10-24,Ethereum,68.4683090207738,67.93697830358295
2021-10-23,Ethereum,68.54402155914033,63.475627554953604
2021-10-22,Ethereum,64.02862038678646,68.77577471105401
2021-10-21,Ethereum,68.93238374727511,70.05265179529493
2021-10-20,Ethereum,70.0978678571684,56.23251312493649
2021-10-19,Ethereum,56.62086707109207,55.38112613951505
2021-10-18,Ethereum,55.50748129752294,56.59624093239183
2021-10-17,Ethereum,56.53578239782403,57.65000980042303
